Date,Transport routier,Pavillon français(1),    International et transit(4),    Cabotage,Transport ferroviaire(5),    National,    International - échange,    Transit,Transport fluvial(6),    National,    International – échange,    Transit,Oléoducs ,Ensemble,National,International et transit,Pdiesel,Qdieselvu,GDP,CPI,Ind_Prix_Transport,
1984,125.883261763853,114.685784719844,11.1974770440097,0,57.749,34.639,17.38,5.73,7.954,4.955,2.999,0,25.859,217.445261763853,145.267119014767,46.3191427490867,0.573,8027.04,707030000000,57.9016285699203,54.44,
1985,128.417738763818,116.399312824031,12.018425939786,0,56.059,34.229,16.28,5.55,7.589,4.506,3.083,0,24.142,216.207738763818,145.921877460806,46.1438613030112,0.604,8332.88012695313,757689000000,61.2779302820743,57.94,
1986,134.59800392918,121.417397973646,13.1806059555341,0,52.686,32.896,14.3,5.49,6.993,4.12,2.873,0,26.977,221.25400392918,148.692849739707,45.5841541894729,0.517,8727,814596000000,62.8334864241848,59.28,
1987,144.515001593776,130.158920903534,14.3560806902422,0,52.707,33.057,13.98,5.67,6.686,3.877,2.809,0,25.255,229.163001593776,156.178187701451,47.7298138923243,0.502,9245,855983000000,64.9000158369846,57.84,
1988,161.109348551451,145.263151444449,15.8461971070021,0,52.946,32.516,14.8,5.63,6.644,3.692,2.952,0,29.284,249.983348551451,168.053039067578,52.6463094838736,0.488,10504,925215000000,66.65284537824,51.39,
1989,168.637945959847,151.733710802283,16.9042351575641,0,53.712,32.322,15.71,5.68,6.752,3.919,2.833,0,22.969,252.070945959847,173.555246755496,55.5466992043514,0.515,11486,997121000000,68.9845633391402,50.65,
1990,195.715719498014,157.673876900218,38.0418425977959,0,52.24,31.52,15.01,5.71,7.164,4.266,2.898,0,19.609,274.728719498014,173.503844064218,82.9161754337959,0.541,13383,1053546000000,71.1881257808513,48.62,
1991,201.086547261916,161.368350694221,39.7181965676947,0,52.430011,31.700011,14.86,5.87,6.834,4.304,2.53,0,22.501,282.851558261916,177.284017431222,84.6469408306947,0.546,13634,1091705000000,73.4756902285804,49.36,
1992,206.658338315894,165.416338315894,41.242,0,51.180591,30.310591,14.59,6.28,6.911,4.255,2.656,0,23.381,288.130929315894,178.343160689894,88.090868626,0.527,14084,1130983000000,75.2124795438948,50.5,
1993,202.582492823085,159.741492823085,42.841,0,45.582509,26.662509,12.93,5.99,5.95,3.477,2.473,0,23.312,277.427001823085,169.683248270085,86.091053553,0.559,14309,1142119000000,76.7952981752274,48.67,
1994,217.722311057381,168.54877555765,49.1735354997316,0,48.871258,27.431258,14.15,7.29,5.593,3.146,2.447,0,22.187,294.373569057381,177.04750306365,96.6892659937316,0.588,14526,1179867000000,78.0666561086769,49.66,
1995,232.902005978338,181.108227366817,51.7937786115208,0,48.266068,26.326068,14.41,7.53,5.865,3.15,2.715,0,22.275,309.308073978338,187.418202040817,101.214871937521,0.587,14802,1218273000000,79.4691090816308,50.68,
1996,237.471330909497,180.837244585202,56.6340863242954,0,50.113,26.713,14.71,8.69,5.744,3.199,2.545,0,21.909,315.237330909497,189.082842777202,105.322488132295,0.652,14739,1252266000000,81.0448890531243,51.49,
